Year,Miles,Price,Brand,Model,cross,grand,passenger,sport,cab,sportback,regular,coupe,limited,hybrid,crew,town,double,electric,plug-in
2019,69051,21990,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,32939,18990,4,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,87047,12590,13,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,96531,16990,8,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,55773,21990,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,65693,14990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,38108,22990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,31902,20990,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,42905,20590,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,50095,20590,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,56030,30590,26,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,66783,31590,16,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,46690,30990,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,56952,24990,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,70083,22990,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,92004,15590,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,63492,17990,18,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,45867,20990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,41890,17590,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,34238,20590,12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,50942,17990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,104904,23990,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,53388,18990,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,78029,23590,19,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,56213,19990,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,78708,13990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,35623,20590,13,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,26989,19990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,85391,16990,15,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,47632,19990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,43194,24990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,11125,22990,9,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,59971,22590,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,45703,20990,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,74444,18590,26,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,21740,18990,17,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,52451,20590,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,61702,24590,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,74840,15990,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,99531,16990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,33799,15590,13,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,25695,24990,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,61506,19990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,79549,21990,9,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,50821,24990,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,28162,23990,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,76849,15590,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,50498,20590,5,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2020,33861,19590,9,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,78724,15590,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,78862,14590,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,56555,24590,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,45136,14590,13,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,14956,22590,10,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,99800,17990,9,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,48651,18990,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,40713,18590,9,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,64627,23590,28,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,55657,20990,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,62645,14990,19,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,60630,18590,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,44675,18990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,53458,22590,0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,77693,17990,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,74467,20590,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,46938,19990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,78933,15990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,76111,15990,15,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,56388,19990,19,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,93668,16990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,49107,20990,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,73387,16990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,34690,21990,10,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,92729,13590,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,59301,20590,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,77113,18990,18,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,87485,17990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,30874,19990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,43521,13590,13,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,58427,24590,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,93347,14990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,47911,18990,28,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,53822,17590,9,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,51844,22990,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,65123,23990,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,86596,18590,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,96735,14590,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,93897,17590,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,97660,20990,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,76416,15990,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,60314,19990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,42736,22990,13,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,63664,15590,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,51966,22590,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,60801,19590,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,46208,15990,12,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,51909,22590,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,48621,13590,30,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,63110,21590,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,90054,24590,15,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,68740,14990,13,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,95320,13990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,45627,15590,13,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,96498,12990,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,44419,21590,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,53880,21590,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,47816,19590,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,68284,17590,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,68594,11990,13,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,72195,24590,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,83757,16990,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,47899,18590,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,96737,17590,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,44020,21990,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,69817,19990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,52875,20990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,28772,23990,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,38491,19590,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,39242,18590,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,90591,15990,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,49489,20990,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,80667,14990,25,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016,113346,24590,15,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,28762,19990,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,73320,24590,11,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,89674,13990,9,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,49136,20590,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,86190,16590,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,49258,20590,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,93933,17990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,56462,23990,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,22066,21990,6,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,49466,18990,13,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,78054,20990,26,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,15747,24990,16,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,75125,18990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,61946,24590,23,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,84390,14990,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,14887,21590,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,85401,15590,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,56929,18590,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,87520,14990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,91303,16990,20,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,49270,20990,25,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,52409,18990,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,90860,18990,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,57933,19990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,39599,23990,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,28019,23590,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,95981,16990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,33468,23990,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,21894,16590,7,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,35188,21990,17,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,46135,16990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,85013,18990,11,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,72722,19990,10,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,62001,20990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,52741,23590,21,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,38312,18990,7,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2019,54661,18990,9,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,77624,14990,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,78327,15590,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,50981,23590,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,97030,14990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,49899,20590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,23804,21990,13,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,43531,18990,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,79577,15590,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,70354,17590,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,50902,24590,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,16290,21990,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,19017,24990,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,62006,17590,16,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,43419,23590,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,45624,18590,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,62557,15990,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,59743,24990,23,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,50516,20590,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,76571,15990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,61850,18590,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,47385,24990,28,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,64637,14590,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,42821,23590,9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2018,88240,15990,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,55954,20590,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,87049,24990,8,12,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2018,43465,20990,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,78747,13990,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,95653,15990,8,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,45144,17590,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,100470,15990,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,69917,21590,0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,28241,21990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,79566,16990,11,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,42801,19990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,43628,20590,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,101928,14990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,62739,13990,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,58405,22990,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,40268,13990,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,58933,23590,8,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,60778,19590,16,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,80605,13990,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,52171,17990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,88866,12590,9,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,27095,18990,13,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,23325,20590,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,14106,24990,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,13489,20590,9,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,29665,24990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,30069,23990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,53677,18990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,39536,18990,17,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,31207,21590,9,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,105032,17590,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,49960,18990,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,53028,17590,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,50620,20990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,71198,20990,26,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,87477,18990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,6663,20990,18,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,54653,22990,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,102515,15990,8,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,71845,15990,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,47133,19990,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,94163,13990,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,27895,22990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,82382,16990,9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2013,78019,15990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,82396,11990,30,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,98399,16990,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,51916,20990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,56244,22590,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,97575,20990,15,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,78516,12990,22,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,46702,24990,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,40675,20590,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,49198,17990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,97729,17990,19,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,54730,18990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,28929,17990,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,73420,14990,12,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,67070,14990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,96594,13590,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,48038,20590,19,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,47655,19990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,80572,19590,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,83595,17990,12,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2015,72394,16590,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,52919,19990,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,71540,23590,8,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,48475,18590,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,63762,18590,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,68386,14990,9,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,60916,21990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,43159,18990,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,59959,16990,18,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,87069,13990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,89513,12590,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,20252,16590,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,27974,24990,16,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,45314,12990,13,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,67984,14590,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,9425,20590,4,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,42380,21590,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,65211,19990,8,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,27534,17590,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,43723,19590,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,5838,21990,13,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,57116,24590,26,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,52495,16990,25,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,35411,21590,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,22130,24590,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,29035,19990,13,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,58203,19590,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,52492,23990,18,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2012,87005,15590,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,46715,23990,9,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,59727,21590,20,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,49991,23990,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,58386,17990,15,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016,70276,13990,0,10,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2012,100785,15990,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,78293,15590,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,72170,20990,16,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,47099,19990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,46897,21990,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,76320,24990,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,75178,16590,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,54654,24990,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,48213,23590,15,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,51074,21590,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,51554,20990,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,90990,16590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,61595,20590,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,37022,20990,7,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2012,101840,12590,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,97549,15990,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,93513,14990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,99840,16590,8,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,82140,16590,19,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,64169,16990,15,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,30693,16590,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,97821,14590,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,21885,22990,12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,66400,15590,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,52544,23990,8,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,59179,14990,25,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,69402,13990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,67676,20590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,35964,19590,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,90521,15990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,57296,21590,8,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,60847,20590,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,42557,17990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,104133,15990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,23055,19590,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,67252,24990,28,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,29626,24590,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,52780,20990,16,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,51299,22590,21,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,68617,22990,25,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,52012,22590,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,91960,24990,0,15,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
