Year,Miles,Price,Brand,Model,cross,grand,passenger,sport,cab,sportback,regular,coupe,limited,hybrid,crew,town,double,electric,plug-in
2019,39105,24590,9,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2017,70606,13990,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,66246,24990,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,30302,21590,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,69900,22990,18,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,21755,22590,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,44521,19990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,56631,20990,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,41061,23990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,42108,15590,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,71737,17590,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,57489,20590,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,87121,20990,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,52909,20990,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,63303,17990,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,74193,14590,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,10336,23590,19,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,45569,21990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,55791,17990,22,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,47121,14990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,83283,15990,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,28570,23990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,48653,20590,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,67534,18990,12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,62319,24590,23,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2013,101583,15990,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,91604,16990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,83090,17990,7,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,52817,23990,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,91347,15590,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,48985,22990,9,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,83381,12990,13,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,47026,23590,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,64514,22990,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,13541,22990,19,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,81441,22990,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,46662,23590,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,51020,20590,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,38422,19990,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,100000,16990,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,39068,19990,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,97364,24590,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,92544,21990,20,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,24248,20990,19,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,34931,19990,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,99519,19990,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,42021,22590,18,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,105344,13590,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,78431,14990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,101042,14990,15,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,56229,18990,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,56213,20590,26,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,88541,18590,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,77600,18990,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,97963,15990,19,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,96510,15990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,33004,15590,19,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
